Algodon,Poliester,Lana,Elastano,Viscosa,Nylon,Seda,Fibra,Peso
79.91,2.87,0.0,5.95,9.93,0.0,0.0,1.33,6.11
93.11,6.89,0.0,0.0,0.0,0.0,0.0,0.0,4.63
1.58,5.94,49.34,7.64,3.36,7.81,24.33,0.0,2.76
13.99,0.35,37.75,3.7,4.5,5.42,34.3,0.0,2.01
84.02,6.15,0.0,1.54,5.72,0.0,0.0,2.57,6.27
42.74,41.05,4.83,2.05,6.09,1.98,0.0,1.26,3.81
27.68,13.9,32.37,1.5,4.51,4.07,15.96,0.0,2.37
59.45,27.86,2.54,0.04,6.19,0.55,0.0,3.38,4.81
98.34,1.66,0.0,0.0,0.0,0.0,0.0,0.0,5.77
8.0,59.15,0.0,12.39,2.57,13.8,0.0,4.1,3.07
91.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,7.22
42.23,4.98,18.09,7.67,7.72,6.75,12.56,0.0,1.22
86.13,2.37,0.0,0.48,7.98,0.0,0.0,3.05,6.74
75.87,14.24,0.0,1.46,5.34,0.0,0.0,3.08,3.84
15.28,17.07,30.75,1.08,8.3,6.36,21.16,0.0,2.62
48.18,34.08,0.58,5.41,7.58,2.39,0.0,1.79,4.26
91.64,8.36,0.0,0.0,0.0,0.0,0.0,0.0,4.23
0.85,66.8,0.0,13.03,4.63,10.01,0.0,4.68,2.0
75.42,15.52,0.0,3.04,2.03,0.0,0.0,3.99,3.13
14.8,48.91,0.0,14.32,4.89,11.72,0.0,5.36,3.16
13.18,65.69,0.0,5.55,1.05,9.62,0.0,4.91,3.52
81.27,14.31,0.0,1.61,1.84,0.0,0.0,0.98,3.11
90.28,9.72,0.0,0.0,0.0,0.0,0.0,0.0,4.87
24.6,20.16,36.41,2.25,3.89,2.56,10.13,0.0,2.81
23.85,44.94,0.0,12.87,2.94,14.81,0.0,0.59,3.0
9.75,63.63,0.0,14.23,0.6,7.12,0.0,4.67,3.14
10.57,58.45,0.0,9.14,3.49,18.15,0.0,0.21,3.14
24.62,21.62,27.17,2.58,2.36,7.96,13.7,0.0,1.51
51.96,26.86,4.55,3.95,8.19,1.77,0.0,2.72,2.81
18.28,46.88,0.0,13.28,4.33,15.01,0.0,2.21,3.25
58.46,33.22,1.12,4.81,0.88,0.96,0.0,0.55,3.55
38.14,42.69,3.52,1.51,9.38,2.5,0.0,2.25,3.09
75.95,6.06,0.0,4.95,11.08,0.0,0.0,1.96,6.32
53.33,25.59,3.33,0.78,12.21,1.8,0.0,2.96,4.14
79.89,11.36,0.0,0.19,7.97,0.0,0.0,0.59,3.57
98.46,1.54,0.0,0.0,0.0,0.0,0.0,0.0,6.07
