Algodon,Poliester,Lana,Elastano,Viscosa,Nylon,Seda,Fibra,Peso,Programa,Agua,Jabon,Temperatura
79.91,2.87,0.0,5.95,9.93,0.0,0.0,1.33,6.11,Algodón,66.66,30.275,60
93.11,6.89,0.0,0.0,0.0,0.0,0.0,0.0,4.63,Algodón,57.78,26.575,60
1.58,5.94,49.34,7.64,3.36,7.81,24.33,0.0,2.76,Mixto,46.56,21.9,40
13.99,0.35,37.75,3.7,4.5,5.42,34.3,0.0,2.01,Delicados,42.06,20.025,30
84.02,6.15,0.0,1.54,5.72,0.0,0.0,2.57,6.27,Algodón,67.62,30.674999999999997,60
42.74,41.05,4.83,2.05,6.09,1.98,0.0,1.26,3.81,Mixto,52.86,24.525,40
27.68,13.9,32.37,1.5,4.51,4.07,15.96,0.0,2.37,Mixto,44.22,20.925,40
59.45,27.86,2.54,0.04,6.19,0.55,0.0,3.38,4.81,Mixto,58.86,27.025,40
98.34,1.66,0.0,0.0,0.0,0.0,0.0,0.0,5.77,Algodón,64.62,29.424999999999997,60
8.0,59.15,0.0,12.39,2.57,13.8,0.0,4.1,3.07,Sintéticos,48.42,22.675,40
91.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,7.22,Algodón,73.32,33.05,60
42.23,4.98,18.09,7.67,7.72,6.75,12.56,0.0,1.22,Mixto,37.32,18.05,40
86.13,2.37,0.0,0.48,7.98,0.0,0.0,3.05,6.74,Algodón,70.44,31.85,60
75.87,14.24,0.0,1.46,5.34,0.0,0.0,3.08,3.84,Algodón,53.04,24.6,60
15.28,17.07,30.75,1.08,8.3,6.36,21.16,0.0,2.62,Mixto,45.72,21.55,40
48.18,34.08,0.58,5.41,7.58,2.39,0.0,1.79,4.26,Mixto,55.56,25.65,40
91.64,8.36,0.0,0.0,0.0,0.0,0.0,0.0,4.23,Algodón,55.38,25.575000000000003,60
0.85,66.8,0.0,13.03,4.63,10.01,0.0,4.68,2.0,Sintéticos,42.0,20.0,40
75.42,15.52,0.0,3.04,2.03,0.0,0.0,3.99,3.13,Algodón,48.78,22.825,60
14.8,48.91,0.0,14.32,4.89,11.72,0.0,5.36,3.16,Mixto,48.96,22.9,40
13.18,65.69,0.0,5.55,1.05,9.62,0.0,4.91,3.52,Sintéticos,51.120000000000005,23.8,40
81.27,14.31,0.0,1.61,1.84,0.0,0.0,0.98,3.11,Algodón,48.66,22.775,60
90.28,9.72,0.0,0.0,0.0,0.0,0.0,0.0,4.87,Algodón,59.22,27.175,60
24.6,20.16,36.41,2.25,3.89,2.56,10.13,0.0,2.81,Mixto,46.86,22.025,40
23.85,44.94,0.0,12.87,2.94,14.81,0.0,0.59,3.0,Mixto,48.0,22.5,40
9.75,63.63,0.0,14.23,0.6,7.12,0.0,4.67,3.14,Sintéticos,48.84,22.85,40
10.57,58.45,0.0,9.14,3.49,18.15,0.0,0.21,3.14,Sintéticos,48.84,22.85,40
24.62,21.62,27.17,2.58,2.36,7.96,13.7,0.0,1.51,Mixto,39.06,18.775,40
51.96,26.86,4.55,3.95,8.19,1.77,0.0,2.72,2.81,Mixto,46.86,22.025,40
18.28,46.88,0.0,13.28,4.33,15.01,0.0,2.21,3.25,Mixto,49.5,23.125,40
58.46,33.22,1.12,4.81,0.88,0.96,0.0,0.55,3.55,Mixto,51.3,23.875,40
38.14,42.69,3.52,1.51,9.38,2.5,0.0,2.25,3.09,Mixto,48.54,22.725,40
75.95,6.06,0.0,4.95,11.08,0.0,0.0,1.96,6.32,Algodón,67.92,30.8,60
53.33,25.59,3.33,0.78,12.21,1.8,0.0,2.96,4.14,Mixto,54.839999999999996,25.35,40
79.89,11.36,0.0,0.19,7.97,0.0,0.0,0.59,3.57,Algodón,51.42,23.924999999999997,60
98.46,1.54,0.0,0.0,0.0,0.0,0.0,0.0,6.07,Algodón,66.42,30.175,60
3.34,47.41,0.0,20.88,6.25,20.38,0.0,1.74,3.78,Mixto,52.68,24.45,40
1.79,60.45,0.0,22.17,2.12,11.27,0.0,2.19,3.38,Sintéticos,50.28,23.45,40
91.3,8.7,0.0,0.0,0.0,0.0,0.0,0.0,4.43,Algodón,56.58,26.075,60
94.69,5.31,0.0,0.0,0.0,0.0,0.0,0.0,6.66,Algodón,69.96000000000001,31.65,60
62.22,26.1,3.88,2.51,0.64,4.07,0.0,0.58,3.25,Mixto,49.5,23.125,40
93.23,6.77,0.0,0.0,0.0,0.0,0.0,0.0,5.41,Algodón,62.46,28.525,60
83.64,4.11,0.0,0.66,8.31,0.0,0.0,3.28,4.15,Algodón,54.900000000000006,25.375,60
22.45,22.49,19.45,1.89,9.15,0.48,24.09,0.0,2.21,Mixto,43.26,20.525,40
73.61,19.02,0.0,0.72,4.98,0.0,0.0,1.67,3.04,Algodón,48.24,22.6,60
44.29,48.03,1.16,0.69,4.18,1.46,0.0,0.18,4.08,Mixto,54.480000000000004,25.2,40
77.1,11.49,0.0,3.74,2.93,0.0,0.0,4.74,4.38,Algodón,56.28,25.95,60
38.2,52.51,3.01,3.02,0.18,1.98,0.0,1.1,2.91,Sintéticos,47.46,22.275,40
96.01,3.99,0.0,0.0,0.0,0.0,0.0,0.0,6.31,Algodón,67.86,30.775,60
5.79,17.74,26.53,1.85,7.88,9.69,30.54,0.0,1.66,Delicados,39.96,19.15,30
98.21,1.79,0.0,0.0,0.0,0.0,0.0,0.0,4.32,Algodón,55.92,25.8,60
